FIPS,Name,Population,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20
00156,Abington township,55468,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,13,15,17,24,31,34,35,42,43,44,51,57,63,69,81,90,101,108,122,128,136,143,149,156,159,165,185,192,209,217,227,235,249,259,277,277,277,286,299,307,309,322,326,327,329,346,350,356,360,360,367,369,370,377,381,384,385,387,393,397
02264,Ambler borough,6496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,6,6,8,9,10,14,15,16,16,17,28,31,33,38,41,41,43,45,47,47,47,51,51,54,59,61,62,67,69,74,74,74,74,75,75,76,81,82,83,85,89,89,89,89,89,89,90,90,91,93,93,94,95,96,97
08568,Bridgeport borough,4579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,4,5,6,6,6,6,7,8,8,8,10,11,11,11,11,12,12,13,13,13,13,14,14,14,14,15,16,17,18,20,21,21,21,21,22,23,24,25,27,28,28,29,31,32
09696,Bryn Athyn borough,1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2
12968,Cheltenham township,37219,0,0,1,1,1,1,1,1,1,1,1,1,3,5,6,9,11,14,18,25,28,30,31,35,38,41,54,59,67,74,83,97,104,109,124,128,131,136,162,166,185,193,207,212,223,230,239,244,260,263,273,292,294,306,319,335,348,353,355,356,369,375,390,393,398,398,400,402,443,451,452,453,459,460,467,471
15192,Collegeville borough,5113,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,12
15848,Conshohocken borough,8065,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,6,6,6,6,6,8,9,9,9,10,10,11,11,13,13,14,15,15,15,15,15,16,19,23,23,24,24,24,24,25,25,25,26,27,27,28,28,28,28,29,29,30,30,30,30,30,31,31,31,31,32,32,32,34,35
19672,Douglass township,10589,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,6,6,6,6,7,9,10,10,10,10,10,10,12,12,12,12,12,13,13,15,18,21,21,21,21,22,23,24,24,24,24,25,25,25,25,25,25,25,25,26,26,27,27,28,28,28,28
21200,East Greenville borough,2959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
21600,East Norriton township,14014,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,3,4,5,6,6,6,6,8,8,9,11,11,16,17,20,20,22,24,27,28,31,33,33,36,36,38,42,48,51,55,62,64,64,69,70,74,79,86,88,89,90,90,92,95,97,98,99,104,107,109,114,117,122,126,127,128,129,134,137
